evt	flute	sampler	additive	chapo	paf	reverb	harm	freqShift	noise	spat
1.0	1				0	1	0	0	1	1
1.1	1				1	1	1	0	1	1
1.2	1				1	1	1	0	1	1
1.3	1				1	1	1	0	1	1
1.4	1				1	1	1	0	1	1
1.5	1				1	1	1	0	1	1
1.6	1				0	1	1	0	1	1
1.7	1				0	1	1	0	1	1
1.8	1				0	1	1	0	1	1
1.9	1				0	1	1	0	1	1
1.10	1				0	1	1	1	1	1
1.11	1				0	1	1	1	1	1
1.12	1				1	1	1	1	1	1
1.13	1				1	1	1	1	1	1
1.14	1				1	1	1	1	1	1
1.15	1				1	1	1	1	1	1
1.16	1				1	1	1	1	1	1
1.17	1				1	1	1	1	1	1
1.18	1				1	1	1	1	1	1
1.19	1				1	1	1	1	1	1
1.20	1				1	1	1	1	1	1
1.21	1				1	1	1	1	1	1
1.22	1				1	1	1	1	1	1
1.23	1				1	1	1	1	1	1
1.24	1				0	1	1	1	1	1
1.25	1				0	1	1	1	1	1
1.26	1				0	1	1	1	1	1
1.27	1				1	1	1	1	1	1
1.28	1				1	1	1	1	1	1
1.29	1				1	1	1	1	1	1
1.30	1				1	1	1	1	1	1
1.31	1				1	1	1	1	1	1
1.32	1				1	1	1	1	1	1
1.33	1				1	1	1	1	1	1
1.34	1				1	1	1	1	1	1
1.35	1				1	1	1	1	1	1
1.36	1				1	1	1	1	1	1
1.37	1				1	1	1	1	1	1
1.38	1				1	1	1	1	1	1
1.39	1				1	1	1	1	1	1
1.40	1				1	1	1	1	1	1
1.41	1				1	1	1	1	1	1
1.42	1				1	1	1	1	1	1
1.43	1				1	1	1	1	1	1
1.44	1				1	1	1	1	1	1
1.45	1				1	1	0	1	1	1
1.46	1				0	1	0	1	1	1
1.47	1				0	1	0	1	1	1
1.48	1				1	1	0	1	1	1
1.49	1				1	1	0	1	1	1
1.50	1				1	1	0	1	1	1
1.51	1				1	1	0	1	1	1
1.52	1				1	1	0	1	1	1
1.53	1				1	1	0	1	1	1
1.54	1				1	1	0	1	1	1
1.55	1				1	1	0	1	1	1
1.56	1				1	1	0	0	1	1
1.57	1				1	1	0	1	1	1
1.58	1				1	1	0	1	1	1
1.59	1				1	1	0	1	1	1
1.60	1				1	1	0	1	1	1
1.61	1				1	1	0	1	1	1
1.62	1				1	1	0	1	1	1
1.63	1				1	1	0	1	1	1
1.64	1				1	1	0	1	1	1
1.65	1				1	1	0	1	1	1
1.66	1				1	1	0	1	1	1
1.67	1				1	1	0	1	1	1
1.68	1				1	1	0	1	1	1
1.69	1				1	1	0	1	1	1
1.70	1				1	1	0	1	1	1
1.71	1				1	1	0	1	1	1
1.72	1				1	1	0	1	1	1
1.73	1				1	1	0	1	1	1
1.74	1				1	1	0	1	1	1
1.75	1				1	1	0	1	1	1
1.76	1				1	1	0	1	1	1
1.77	1				1	1	0	1	1	1
1.78	1				1	1	0	1	1	1
1.79	1				1	1	0	1	1	1
1.80	1				1	1	0	1	1	1
1.81	1				1	1	0	1	1	1
1.82	1				1	1	0	1	1	1
1.83	1				1	1	0	1	1	1
1.84	1				1	1	0	1	1	1
1.85	1				1	1	0	1	1	1
1.86	1				1	1	0	0	1	1
1.87	1				1	1	0	0	1	1
1.88	1				1	1	0	0	1	1
1.89	1				1	1	0	0	1	1
1.90	1				1	1	0	1	1	1
1.91	1				0	1	0	1	1	1
1.92	1				1	1	0	1	1	1
1.93	1				1	1	0	1	1	1
1.94	1				1	1	0	1	1	1
1.95	1				0	1	0	1	1	1
1.96	1				1	1	0	1	1	1
1.97	1				1	1	0	1	1	1
1.98	1				0	1	0	1	1	1
1.99	1				1	1	0	1	1	1
1.100	1				1	1	0	1	1	1
1.101	1				1	1	0	1	1	1
1.102	1				1	1	0	1	1	1
1.103	1				1	1	0	1	1	1
1.104	1				1	1	0	1	1	1
1.105	1				1	1	0	1	1	1
1.106	1				1	1	0	1	1	1
1.107	1				0	1	0	1	1	1
1.108	1				0	1	0	1	1	1
2.0	1				0	1	0	1	1	1
2.1	1				0	1	1	1	1	1
2.2	1				0	1	1	1	1	1
2.3	1				0	1	1	1	1	1
2.4	1				1	1	1	1	1	1
2.5	1				1	1	1	1	1	1
2.6	1				1	1	1	1	1	1
2.7	1				0	1	1	1	1	1
2.8	1				0	1	1	1	1	1
2.9	1				0	1	0	1	1	1
2.10	1				0	1	0	1	1	1
2.11	1				0	1	1	1	1	1
2.12	1				0	1	1	1	1	1
2.13	1				0	1	1	1	1	1
2.14	1				0	1	1	1	1	1
2.15	1				0	1	1	1	1	1
2.16	1				0	1	1	1	1	1
2.17	1				0	1	1	1	1	1
2.18	1				0	1	1	1	1	1
2.19	1				0	1	1	1	1	1
2.20	1				0	1	0	1	1	1
2.21	1				0	1	0	1	1	1
2.22	1				0	1	0	1	1	1
2.23	1				0	1	0	0	1	1
2.24	1				0	1	0	0	1	1
2.25	1				1	1	0	0	1	1
2.26	1				1	1	0	0	1	1
2.27	1				1	1	0	1	1	1
2.28	1				1	1	0	1	1	1
2.29	1				1	1	0	1	1	1
2.30	1				1	1	0	1	1	1
2.31	1				1	1	0	1	1	1
2.32	1				1	1	0	1	1	1
2.33	1				0	1	0	0	1	1
2.34	1				1	1	1	0	1	1
2.35	1				1	1	1	0	1	1
2.36	1				0	1	1	0	1	1
2.37	1				0	1	1	0	1	1
2.38	1				0	1	1	0	1	1
2.39	1				0	1	1	0	1	1
2.40	1				0	1	1	0	1	1
2.41	1				0	1	1	0	1	1
2.42	1				0	1	1	0	1	1
2.43	1				0	1	1	0	1	1
2.44	1				0	1	1	0	1	1
2.45	1				0	1	1	0	1	1
2.46	1				0	1	1	1	1	1
2.47	1				0	1	1	1	1	1
2.48	1				0	1	1	1	1	1
2.49	1				0	1	1	0	1	1
2.50	1				0	1	0	0	1	1
2.51	1				0	1	1	0	1	1
2.52	1				1	1	1	0	1	1
2.53	1				1	1	1	0	1	1
2.54	1				1	1	1	0	1	1
2.55	1				0	1	1	0	1	1
2.56	1				0	1	1	0	1	1
2.57	1				1	1	1	0	1	1
2.58	1				0	1	1	0	1	1
2.59	1				0	1	1	0	1	1
2.60	1				1	1	1	0	1	1
2.61	1				1	1	1	0	1	1
2.62	1				1	1	1	1	1	1
2.63	1				1	1	1	0	1	1
2.64	1				0	1	1	0	1	1
2.65	1				1	1	1	1	1	1
2.66	1				1	1	1	1	1	1
2.67	1				1	1	1	1	1	1
2.68	1				1	1	1	1	1	1
2.69	1				1	1	1	1	1	1
2.70	1				0	1	1	1	1	1
2.71	1				0	1	1	1	1	1
2.72	1				0	1	1	1	1	1
2.73	1				1	1	1	1	1	1
2.74	1				1	1	1	1	1	1
2.75	1				1	1	1	1	1	1
2.76	1				0	1	1	1	1	1
2.77	1	1			0	1	1	1	1	1
2.78	1	1			0	1	1	1	1	1
2.79	1	1			0	1	1	1	1	1
2.80	1	1			0	1	1	1	1	1
2.81	1	1			0	1	1	1	1	1
3.0	1	1			0	1	1	1	1	1
3.1	1	1			1	1	1	1	1	1
3.2	1	1			1	1	1	1	1	1
3.3	1	1			1	1	1	1	1	1
3.4	1	1			1	1	1	1	1	1
3.5	1	1			1	1	1	1	1	1
3.6	1	1			1	1	1	1	1	1
3.7	1	1			1	1	1	1	1	1
3.8	1	1			1	1	1	1	1	1
3.9	1				0	1	1	1	1	1
3.10	1				1	1	1	1	1	1
3.11	1				1	1	1	1	1	1
3.12	1				1	1	1	1	1	1
3.13	1				1	1	1	1	1	1
3.14	1				1	1	1	1	1	1
3.15	1				1	1	1	1	1	1
3.16	1				1	1	1	1	1	1
3.17	1				1	1	1	1	1	1
3.18	1				1	1	1	1	1	1
3.19	1				1	1	1	1	1	1
3.20	1				1	1	1	1	1	1
3.21	1				1	1	1	1	1	1
3.22	1				1	1	1	1	1	1
3.23	1				1	1	1	1	1	1
3.24	1				1	1	1	1	1	1
3.25	1				1	1	1	1	1	1
3.26	1				1	1	1	1	1	1
3.27	1				1	1	1	1	1	1
3.28	1				1	1	1	1	1	1
3.29	1				1	1	1	1	1	1
3.30	1				1	1	1	1	1	1
3.31	1				1	1	1	1	1	1
3.32	1				1	1	1	1	1	1
3.33	1	1			0	1	1	1	1	1
3.34	1	1			1	1	1	1	1	1
3.35	1	1			1	1	1	1	1	1
3.36	1	1			1	1	1	1	1	1
3.37	1	1			1	1	1	1	1	1
3.38	1	1			1	1	1	1	1	1
3.39	1	1			1	1	1	1	1	1
3.40	1	1			1	1	1	1	1	1
3.41	1	1			1	1	1	1	1	1
3.42	1	1			1	1	1	1	1	1
3.43	1	1			1	1	1	1	1	1
3.44	1	1			1	1	1	1	1	1
3.45	1	1			1	1	1	1	1	1
3.46	1	1			1	1	1	1	1	1
3.47	1	1			1	1	1	1	1	1
3.48	1	1			1	1	1	1	1	1
3.49	1	1			1	1	1	1	1	1
3.50	1	1			1	1	1	1	1	1
3.51	1	1			1	1	1	1	1	1
3.52	1	1			1	1	1	1	1	1
3.53	1	1			1	1	1	1	1	1
3.54	1	1			1	1	1	1	1	1
3.55	1	1			1	1	1	1	1	1
3.56	1	1			1	1	1	1	1	1
3.57	1	1			1	1	1	1	1	1
3.58	1	1			1	1	1	1	1	1
3.59	1	1			1	1	1	1	1	1
3.60	1	1			1	1	1	1	1	1
3.61	1	1			1	1	1	1	1	1
3.62	1	1			1	1	1	1	1	1
3.63	1	1			0	1	1	1	1	1
3.64	1				0	1	1	1	1	1
3.65	1	1	1		0	1	1	1	1	1
3.66	1	1	1		0	1	1	1	1	1
3.67	1	1	1		0	1	1	1	1	1
3.68	1	1	1		0	1	1	1	1	1
3.69	1	1	1		0	1	1	1	1	1
3.70	1	1	1		0	1	1	1	1	1
3.71	1	1	1		0	1	1	1	1	1
3.72	1	1	1		0	1	1	1	1	1
3.73	1	1	1		0	1	1	1	1	1
3.74	1	1	1		0	1	1	1	1	1
3.75	1	1	1		0	1	1	1	1	1
3.76	1	1	1		0	1	1	1	1	1
3.77	1	1	1		0	1	1	1	1	1
3.78	1	1	1		0	1	1	1	1	1
3.79	1	1	1		0	1	1	1	1	1
3.80	1	1	1		0	1	1	1	1	1
3.81	1		1		0	1	1	1	1	1
3.82	1		1		0	1	1	1	1	1
3.83	1	1	1		0	1	1	1	1	1
3.84	1	1	1		0	1	1	1	1	1
3.85	1	1	1		0	1	1	1	1	1
3.86	1	1	1		0	1	1	1	1	1
3.87	1	1	1		0	1	1	1	1	1
3.88	1	1	1		0	1	1	1	1	1
3.89	1	1	1		0	1	1	1	1	1
3.90	1	1	1		0	1	1	0	1	1
3.91	1	1	1		0	1	1	0	1	1
3.92	1	1	1		0	1	1	1	1	1
3.93	1	1	1		0	1	1	1	1	1
3.94	1	1			0	1	1	1	1	1
3.95	1	1			0	1	1	1	1	1
3.96	1	1			0	1	1	1	1	1
3.97	1	1			0	1	1	1	1	1
3.98	1	1			0	1	1	1	1	1
3.99	1	1			0	1	1	1	1	1
3.100	1	1			0	1	1	1	1	1
3.101	1	1			1	1	1	1	1	1
3.102	1	1			1	1	1	1	1	1
3.103	1	1			1	1	1	1	1	1
3.104	1	1			1	1	1	1	1	1
3.105	1	1			1	1	1	1	1	1
3.106	1	1			1	1	1	1	1	1
3.107	1	1			1	1	1	1	1	1
3.108	1	1			1	1	1	1	1	1
3.109	1	1			1	1	1	1	1	1
3.110	1	1			1	1	1	1	1	1
3.111	1	1			1	1	1	1	1	1
3.112	1	1			1	1	1	1	1	1
3.113	1	1			1	1	1	1	1	1
3.114	1	1			1	1	1	1	1	1
3.115	1	1			1	1	1	1	1	1
3.116	1	1			1	1	1	1	1	1
3.117	1	1			1	1	1	1	1	1
3.118	1	1			1	1	1	1	1	1
3.119	1	1			0	1	1	1	1	1
3.120	1	1			1	1	1	1	1	1
3.121	1	1			1	1	1	1	1	1
3.122	1	1			1	1	1	1	1	1
3.123	1	1			1	1	1	1	1	1
3.124	1	1			1	1	1	1	1	1
3.125	1	1			1	1	1	1	1	1
3.126	1	1			1	1	1	1	1	1
3.127	1	1			1	1	1	1	1	1
3.128	1	1			1	1	1	1	1	1
3.129	1				1	1	1	1	1	1
3.130	1				0	1	1	1	1	1
3.131	1				1	1	1	1	1	1
3.132	1				1	1	1	1	1	1
3.133	1				1	1	1	1	1	1
3.134	1				1	1	1	1	1	1
3.135	1				1	1	1	1	1	1
3.136	1				1	1	1	1	1	1
3.137	1				1	1	1	1	1	1
3.138	1				0	1	1	1	1	1
3.139	1				1	1	1	1	1	1
3.140	1				1	1	1	1	1	1
3.141	1				1	1	1	1	1	1
3.142	1				1	1	1	1	1	1
3.143	1				1	1	1	1	1	1
3.144	1				1	1	1	1	1	1
3.145	1				1	1	1	1	1	1
3.146	1				1	1	1	1	1	1
3.147	1				1	1	1	1	1	1
3.148	1				1	1	1	1	1	1
3.149	1				1	1	1	1	1	1
3.150	1				0	1	1	1	1	1
4.0	1				0	1	0	1	1	1
4.1	1				0	1	0	1	1	1
4.2	1				0	1	0	1	1	1
4.3	1				0	1	0	1	1	1
4.4	1				0	1	0	1	1	1
4.5	1				0	1	0	1	1	1
4.6	1				0	1	0	1	1	1
4.7	1				0	1	0	1	1	1
4.8	1				0	1	0	1	1	1
4.9	1				0	1	0	1	1	1
4.10	1				0	1	0	1	1	1
4.11	1				1	1	0	1	1	1
4.12	1				1	1	0	1	1	1
4.13	1				1	1	0	1	1	1
4.14	1				1	1	0	1	1	1
4.15	1				0	1	0	1	1	1
4.16	1				0	1	0	1	1	1
4.17	1				1	1	1	1	1	1
4.18	1				1	1	1	1	1	1
4.19	1				1	1	1	1	1	1
4.20	1				1	1	1	1	1	1
4.21	1				1	1	0	1	1	1
4.22	1				1	1	1	1	1	1
4.23	1				1	1	1	1	1	1
4.24	1				1	1	1	1	1	1
4.25	1				1	1	1	1	1	1
5.0	1				1	1	0	1	1	1
5.1	1	1			1	1	1	1	1	1
5.2	1	1			1	1	1	1	1	1
5.3	1	1			1	1	1	1	1	1
5.4	1	1			1	1	1	1	1	1
5.5	1	1			1	1	1	1	1	1
5.6	1				0	1	0	1	1	1
5.7	1	1			0	1	1	0	1	1
5.8	1	1			0	1	1	0	1	1
5.9	1	1			0	1	1	0	1	1
5.10	1	1			0	1	1	0	1	1
5.11	1				0	1	1	0	1	1
5.12	1	1			0	1	1	0	1	1
5.13	1	1			0	1	1	1	1	1
5.14	1	1			0	1	1	1	1	1
5.15	1	1			0	1	1	1	1	1
5.16	1	1			0	1	1	1	1	1
5.17	1	1			0	1	1	1	1	1
5.18	1	1			0	1	1	1	1	1
5.19	1	1			0	1	1	1	1	1
5.20	1	1			0	1	1	1	1	1
5.21	1	1			0	1	1	1	1	1
5.22	1	1			0	1	1	1	1	1
5.23	1	1			0	1	1	1	1	1
5.24	1	1			0	1	1	1	1	1
5.25	1				0	1	1	1	1	1
5.26	1				0	1	1	1	1	1
6.0	1				0	1	1	1	1	1
6.1	1			1	0	1	1	1	1	1
6.2	1			1	0	1	1	1	1	1
6.3	1			1	0	1	1	1	1	1
6.4	1			1	0	1	1	1	1	1
6.5	1			1	0	1	1	1	1	1
6.6	1			1	0	1	1	1	1	1
6.7	1			1	0	1	1	1	1	1
6.8	1			1	0	1	1	1	1	1
6.9	1			1	0	1	1	1	1	1
6.10	1			1	0	1	1	1	1	1
6.11	1			1	0	1	1	1	1	1
6.12	1			1	0	1	1	1	1	1
6.13	1			1	0	1	1	1	1	1
6.14	1			1	0	1	1	1	1	1
6.15	1			1	0	1	1	1	1	1
6.16	1			1	0	1	1	1	1	1
6.17	1			1	0	1	1	1	1	1
6.18	1			1	0	1	1	1	1	1
6.19	1			1	0	1	1	1	1	1
6.20	1			1	0	1	1	1	1	1
6.21	1			1	0	1	1	1	1	1
6.22	1			1	0	1	1	1	1	1
6.23	1			1	0	1	1	1	1	1
6.24	1			1	0	1	1	1	1	1
6.25	1			1	0	1	1	1	1	1
6.26	1			1	0	1	1	1	1	1
6.27	1			1	0	1	1	1	1	1
6.28	1			1	0	1	1	1	1	1
6.29	1			1	0	1	1	1	1	1
6.30	1			1	0	1	1	1	1	1
6.31	1			1	0	1	1	1	1	1
6.32	1			1	0	1	1	1	1	1
6.33	1				0	1	1	1	1	1
7.0	1				0	1	0	1	1	1
7.1	1				1	1	0	1	1	1
7.2	1				1	1	0	1	1	1
7.3	1				1	1	0	1	1	1
7.4	1				1	1	0	1	1	1
7.5	1				0	1	0	1	1	1
7.6	1				1	1	0	1	1	1
7.7	1				1	1	0	1	1	1
7.8	1				1	1	0	1	1	1
7.9	1				1	1	0	1	1	1
7.10	1				0	1	0	1	1	1
7.11	1				1	1	0	1	1	1
7.12	1				1	1	0	1	1	1
7.13	1				1	1	0	1	1	1
7.14	1				1	1	0	1	1	1
7.15	1				1	1	0	1	1	1
7.16	1				0	1	0	1	1	1
7.17	1				0	1	0	1	1	1
8.0	1				0	1	0	1	1	1
8.1	1				0	1	0	1	1	1
8.2	1	1			0	1	0	1	1	1
8.3	1				0	1	0	1	1	1
8.4	1	1			0	1	0	1	1	1
8.5	1				0	1	0	1	1	1
8.6	1	1			0	1	0	1	1	1
8.7	1				0	1	0	1	1	1
8.8	1	1			0	1	1	1	1	1
8.9	1	1			0	1	1	1	1	1
8.10	1	1			0	1	1	1	1	1
8.11	1	1			0	1	1	1	1	1
8.12	1	1			0	1	1	1	1	1
8.13	1	1			0	1	1	1	1	1
8.14	1	1			0	1	1	1	1	1
8.15	1	1			0	1	1	1	1	1
8.16	1	1			0	1	1	1	1	1
8.17	1	1			0	1	1	1	1	1
8.18	1	1			0	1	1	1	1	1
8.19	1	1			0	1	1	1	1	1
8.20	1	1			0	1	1	1	1	1
8.21	1	1			0	1	1	1	1	1
8.22	1	1			0	1	1	1	1	1
8.23	1				0	1	0	1	1	1
8.24	1	1			0	1	0	1	1	1
8.25	1	1			0	1	1	1	1	1
8.26	1	1			0	1	1	1	1	1
8.27	1	1			0	1	1	1	1	1
9.0	1				0	1	0	1	1	1
9.1	1				0	1	1	1	1	1
9.2	1	1			0	1	1	1	1	1
9.3	1	1			0	1	1	1	1	1
9.4	1	1			0	1	1	1	1	1
9.5	1	1			0	1	1	0	1	1
9.6	1	1			0	1	1	1	1	1
9.7	1	1			0	1	1	0	1	1
9.8	1	1			0	1	1	1	1	1
9.9	1	1			0	1	1	0	1	1
9.10	1	1			0	1	1	1	1	1
9.11	1	1			0	1	1	0	1	1
9.12	1				0	1	1	0	1	1
9.13	1	1			0	1	1	1	1	1
9.14	1	1			0	1	1	1	1	1
9.15	1				0	1	1	1	1	1
10.0	1				0	1	1	1	1	1
10.1	1				0	1	1	1	1	1
10.2	1	1			0	1	1	1	1	1
10.3	1	1			0	1	1	1	1	1
10.4	1	1			0	1	1	1	1	1
10.5	1	1			0	1	1	1	1	1
10.6	1	1			0	1	1	1	1	1
10.7	1	1			0	1	1	1	1	1
10.8	1	1			0	1	1	1	1	1
10.9	1	1			0	1	1	1	1	1
10.10	1	1			0	1	1	1	1	1
10.11	1	1			0	1	0	1	1	1
10.12	1	1			0	1	1	1	1	1
10.13	1				0	1	0	1	1	1
10.14	1	1			0	1	1	1	1	1
10.15	1	1			0	1	1	1	1	1
11.0	1				0	1	1	1	1	1
11.1	1				0	1	1	1	1	1
11.2	1				0	1	1	1	1	1
11.3	1				0	1	1	1	1	1
11.4	1				0	1	0	1	1	1
11.5	1				0	1	1	1	1	1
11.6	1				0	1	1	1	1	1
11.7	1				0	1	1	1	1	1
11.8	1				0	1	1	1	1	1
11.9	1				0	1	0	1	1	1
11.10	1				0	1	1	1	1	1
11.11	1				0	1	1	1	1	1
11.12	1				0	1	1	1	1	1
11.13	1				0	1	1	1	1	1
11.14	1				0	1	0	0	1	1
11.15	1				0	1	1	0	1	1
11.16	1				0	1	1	0	1	1
11.17	1				0	1	1	0	1	1
11.18	1				0	1	0	0	1	1
11.19	1				0	1	0	0	1	1
12.0	1				0	1	0	0	1	1
12.1	1			1	0	1	1	1	1	1
12.2	1			1	0	1	1	1	1	1
12.3	1			1	0	1	0	1	1	1
12.4	1			1	0	1	1	1	1	1
12.5	1			1	0	1	0	1	1	1
12.6	1			1	0	1	1	1	1	1
12.7	1			1	0	1	1	1	1	1
12.8	1			1	0	1	1	1	1	1
12.9	1			1	0	1	1	1	1	1
12.10	1			1	0	1	1	1	1	1
12.11	1			1	0	1	1	1	1	1
12.12	1			1	0	1	1	1	1	1
12.13	1			1	0	1	1	1	1	1
12.14	1			1	0	1	1	1	1	1
12.15	1			1	0	1	1	1	1	1
12.16	1			1	0	1	1	1	1	1
12.17	1			1	0	1	1	1	1	1
12.18	1			1	0	1	1	1	1	1
12.19	1			1	0	1	1	1	1	1
12.20	1			1	0	1	1	1	1	1
12.21	1			1	0	1	0	0	1	1
12.22	1			1	0	1	1	1	1	1
12.23	1			1	0	1	0	1	1	1
12.24	1			1	0	1	1	1	1	1
12.25	1			1	0	1	1	1	1	1
12.26	1			1	0	1	1	1	1	1
12.27	1			1	0	1	1	1	1	1
12.28	1			1	0	1	1	1	1	1
12.29	1			1	0	1	1	1	1	1
12.30	1			1	0	1	1	0	1	1
12.31	1				0	1	1	0	1	1
12.32	1				0	1	1	0	1	1
13.0	1				0	1	0	0	1	1
13.1	1				1	1	0	0	1	1
13.2	1				1	1	0	1	1	1
13.3	1				1	1	0	1	1	1
13.4	1				1	1	0	1	1	1
13.5	1				1	1	0	0	1	1
13.6	1				1	1	1	0	1	1
13.7	1				1	1	1	1	1	1
13.8	1				1	1	1	1	1	1
13.9	1				1	1	1	1	1	1
13.10	1				1	1	1	1	1	1
13.11	1				1	1	1	0	1	1
13.12	1				0	1	1	0	1	1
13.13	1				1	1	1	0	1	1
13.14	1				1	1	1	1	1	1
13.15	1				1	1	1	1	1	1
13.16	1				1	1	1	1	1	1
13.17	1				1	1	1	0	1	1
13.18	1				1	1	1	0	1	1
13.19	1				1	1	1	0	1	1
13.20	1				1	1	1	0	1	1
13.21	1				1	1	1	0	1	1
13.22	1				1	1	1	0	1	1
13.23	1				0	1	1	0	1	1
13.24	1				0	1	1	0	1	1
13.25	1				1	1	1	0	1	1
13.26	1				1	1	1	1	1	1
