evt	flute	sampler	osc	reverb	harm	freqShift	noise	spat
1.0		tto2	otor			fto4,fto2		
1.1	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.2	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.3	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.4	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.5	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.6	dtoh	tto2	otor,oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.7	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.8	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.9	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto4,fto2		
1.10	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto2,htof	fto4,fto2		
1.11	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto2,htof	fto4,fto2		
1.12	dtoh		oto4,oton	rto4,rto2	htor,hto2	fto4,fto2	nto4	
1.13	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.14	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.15	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.16	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.17	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.18	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.19	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.20	dtoh		oto4,oton	rto4,rto2	htor,hto2,htof	fto2	nto4	
1.21	dtoh		oto4,oton	rto4,rto2	htor,hto2	fto2	nto4	
1.22	dtoh		oto4,oton	rto4,rto2	htor,hto2	fto2		
1.23	dtoh		oto4,oton	rto4,rto2	htor,hto2	fto2		
1.24	dtoh		oto4	rto4,rto2	htor,hto2	fto2		
1.25	dtoh		oto4	rto4,rto2	htor,hto2	fto2		
1.26	dtoh		oto4,oto2	rto4,rto2	htor,hto2	fto2		
1.27	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2	fto2		
1.28	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2	fto2		
1.29	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2	fto2		
1.30	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.31	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.32	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.33	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.34	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.35	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.36	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.37	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.38	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.39	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.40	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.41	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.42	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.43	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.44	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.45	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.46	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.47	dtoh		oto4,oto2,otor	rto4,rto2	htor,hto2,hto4	fto2		
1.48	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
1.49	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
1.50	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.51	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.52	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.53	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.54	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.55	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.56	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
1.57	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.58	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.59	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.60	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.61	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.62	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.63	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.64	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.65	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.66	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.67	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.68	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.69	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.70	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.71	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.72	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.73	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.74	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.75	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.76	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.77	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.78	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.79	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.80	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.81	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.82	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.83	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.84	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.85	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
1.86	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
1.87	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
1.88	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.89	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.90	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.91	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.92	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.93	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.94	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.95	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.96	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.97	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.98	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.99	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.100	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.101	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.102	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.103	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.104	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.105	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.106	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.107	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
1.108	dtoh,dtor		oto4,oto2,otor,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.0	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.1	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.2	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.3	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.4	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.5	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.6	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.7	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.8	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.9	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.10	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.11	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.12	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.13	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.14	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.15	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.16	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.17	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
2.18	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
2.19	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
2.20	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2	nto4,nto2	
2.21	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.22	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.23	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.24	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.25	dtoh,dtor	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.26	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.27	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.28	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.29	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2	nto4,nto2	
2.30	dtoh	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.31	dtoh,dtor	tto2	oto4,oto2,oton	rto4,rto2	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.32	dtoh	tto2	oto4,oto2,oton	rto4,rto2,rtof	htor,hto2,hto4	fto2,fto4	nto4,nto2	
2.33	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4	fto2,fto4	nto4,nto2	
2.34	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4	fto2,fto4	nto4,nto2	
2.35	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4	fto2,fto4	nto4,nto2	
2.36	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4	fto2,fto4	nto4,nto2	
2.37	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.38	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.39	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.40	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.41	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.42	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.43	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.44	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.45	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.46	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.47	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.48	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.49	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.50	dtor	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.51	dtor,dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.52	dtor,dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.53	dtor,dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.54	dtor,dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.55	dtor,dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.56	dtoh	tto2	oto4,oto2	rto4,rto2	htor,hto4,hto2	fto2,fto4	nto4,nto2	
2.57	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2	fto2,fto4	nto4,nto2	
2.58	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2	fto2,fto4	nto4,nto2	
2.59	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2	fto2,fto4	nto4,nto2	
2.60	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2	fto2,fto4	nto4,nto2	
2.61	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2	fto2,fto4	nto4,nto2	
2.62	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.63	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.64	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.65	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.66	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.67	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.68	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.69	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.70	dtoh	tto2	oto4,oto2	rto4,rto2,rtof	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.71	dtoh,dtor	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.72	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.73	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.74	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.75	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.76	dtoh	tto2	oto4,oto2	rto4,rto2	hto4,hto2,htor,htof	fto2,fto4	nto4,nto2	
2.77	dtoh	tto2,ttoh,tto4	oto4,oto2	rto4,rto2	hto2,htor,htof	fto2,fto4	nto4,nto2	
2.78		tto2,ttoh,tto4	oto4,oto2	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
2.79	dtoh	tto2,ttoh,tto4	oto4,oto2	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
2.80	dtoh	tto2,ttoh,tto4		rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
2.81	dtoh	tto2,ttoh,tto4		rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.0	dtoh	tto2,ttoh	oton	rto4,rto2	hto2,htor	fto2,fto4		
3.1	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.2	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.3	dtoh	tto2,ttoh	oto4,oto2	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.4	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.5	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.6	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.7	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.8	dtoh	tto2,ttoh	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.9	dtoh	tto2	oto4,oto2,oton	rto4,rto2	hto2,htor	fto2,fto4	nto4,nto2	
3.10	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor	fto4	nto4,nto2	
3.11	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor	fto4	nto4,nto2	
3.12	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor	fto4	nto4,nto2	
3.13	dtoh	tto2	oto4,oto2,otoh,otof,oton	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2	
3.14	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2	
3.15	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2	
3.16	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2	
3.17	dtoh	tto2	oto4,oto2,otoh,otof	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2	
3.18	dtoh	tto2	oto4,oto2,otoh,otof,oton	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2,ntof	
3.19	dtoh	tto2	oto4,oto2,otoh,otof,oton	rto4,rto2	htor,htof	fto4,fto2	nto4,nto2,ntof	
3.20	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fto4,fto2,fton	nto4,nto2	
3.21	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fton	nto4,nto2	
3.22	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fton	nto4,nto2	
3.23	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fton	nto4,nto2	
3.24	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fton	nto4,nto2	
3.25	dtoh	tto2	oto4,oto2,otoh,otof,otor	rto4,rto2	htor,htof	fton	nto4,nto2	
